"id","company_id","type","discount_condition","discount_type","start_date","end_date","image","size_min","size_max","like_count","dislike_count","short_description","time_create","creator_user_id","discount_name","is_archived","fixed_size"
785,1144,shoe and accessory cleaning,Special Offer for Andersen Employees: 10% Off All Services by promo code,PROMOCODE,2025-06-09,,https://andersen-benefits.s3.amazonaws.com/remaster_max_adjusteda21d1319-6735-4dc3-94fd-2cbf619fee75.jpg,10.00,10.00,1,0,SHINEBABY10,2025-06-09 14:07:16.800,15,"",false,
613,459,нутріциолог,"Нутриціолог із медичною освітою та понад восьмирічним досвідом.
Усе, що Олена робить, — це допомагає людям покращувати своє життя й підтримувати здоров’я.",PROMOCODE,2025-02-21,,https://andersen-benefits.s3.amazonaws.com/Spetsialnost-nutritsiolog-kakie-nujnyi-navyiki-na-kakuyu-zarplatu-rasschityivat-s-chego-nachat-216d0ee52-dca6-4f00-a859-299707af3619.jpg,15.00,15.00,2,0,Andersen. Для отримання напишіть в Telegram: @e1ennaa ,2025-02-21 11:13:11.939,46,"",false,
765,1116,English School,"20% discount on all professional English courses with promo code
",PROMOCODE,2025-05-26,,https://andersen-benefits.s3.amazonaws.com/1920x1080_telegram_22.05.2025fd15b2a2-2b2a-465a-bd4f-d76f1d2dee24.png,20.00,20.00,1,0,ANDERSEN20,2025-05-26 11:46:19.027,46,"",false,
47,48,Sightseeing,Pass providing,PROMOCODE,2024-03-01,,https://andersen-benefits.s3.amazonaws.com/paris-segway-tours-segway-hero-medium-169064b5b-b18c-4be9-91fc-54f3c6806e32.jpg,10.00,10.00,0,0,Pass providing,,15,,false,
215,82,Cafe,By promo code,PROMOCODE,2025-05-20,,https://andersen-benefits.s3.amazonaws.com/9059004ac7bffe39717b81c8bbaf045e748acbd5-473a-4455-af22-f36cd652e8fb.jpg,5.00,5.00,0,0,promocode - Andersen5,,15,"",false,
247,112,Sport,"5% for the pass - for the first 3 buyers 10% for the first training",PROMOCODE,2025-05-20,,https://andersen-benefits.s3.amazonaws.com/747667dddc1a755ca6438df4cfa532a9f7465c0a-4e6f-4a8f-a86e-7834aec46558.jpg,5.00,5.00,0,0, promocode - Andersen,,15,"",false,
253,118,Gifts,"Click on ""show at location"" button to get the promo code and show it to the place",PROMOCODE,2024-04-22,,https://andersen-benefits.s3.amazonaws.com/Screenshot%202024-04-17%20164247c85f5cfa-9d71-48ed-99ab-042cd338372a.png,10.00,10.00,0,0,promocode - Andersen,,15,,false,
526,359,Party Decor,"Click on ""show at location"" button to get the promo code and show it at the place",PROMOCODE,2024-11-18,,https://andersen-benefits.s3.amazonaws.com/NDD_4700983ce6-4eb0-4193-9c51-275de43d6f98.jpg,5.00,5.00,0,0,promocode - Andersen,,15,,false,
541,375,Tennis center,Show the coupon to the receptionists and they will calculate 5% discount from the court fee,PROMOCODE,2024-12-16,,https://andersen-benefits.s3.amazonaws.com/52720432_764416877278501_5347336808684322816_n68ad4431-c0a8-432e-913a-3e2d2b1bdece.jpg,5.00,5.00,0,0,Show the Andersen's coupon at the reception and you will get 5% discount,2024-12-16 15:59:23.528,15,"",false,
236,103,"Makeup, hairstyle",By promo code,PROMOCODE,2025-05-14,,https://andersen-benefits.s3.amazonaws.com/photo1712751586593390d2-44a1-4985-934d-a381c687190d.jpeg,10.00,15.00,1,0,Andersen,,15,"",false,
251,116,Pracownia krawiecka,by promo code,PROMOCODE,2025-05-14,,https://andersen-benefits.s3.amazonaws.com/1700327301451_avatarb61270a1-b160-4cbd-9d8c-acddcb28c622.jpg,10.00,10.00,1,0,ANDERSEN,,15,"",false,
199,74,Beauty salon,"The discount will be applied using a promo code, which you can find under the ""Show at location"" button.",PROMOCODE,2025-05-20,,https://andersen-benefits.s3.amazonaws.com/Make-up-Hairstyling-scaledf2a99d28-5c33-405e-b11e-c3cc6281acbf.jpeg,15.00,15.00,0,0,Promo code: Andersen,,18,"",false,
200,75,House services,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-05-20,,https://andersen-benefits.s3.amazonaws.com/Handyman-Repairs-1080x78167056ec5-a964-4a06-b19f-95f50f640e6f.jpg,5.00,5.00,0,0,Andersen,,18,"",false,
219,86,Food,"The discount will be applied using a promo code, which you can find under the ""Show at location"" button.",PROMOCODE,2025-05-12,,https://andersen-benefits.s3.amazonaws.com/ukrainian-food-krakow-bento-restauracja75128d37-ca6d-49d9-accd-f09c95636d75.jpg,10.00,10.00,3,0,Promo code: Andersen,,18,"",false,
1216,1634,Workshops,By promocode,PROMOCODE,2026-03-24,,https://andersen-benefits.s3.amazonaws.com/120102318_378784023122661_2665617806503214286_nc715b19c-ec07-4990-8986-4bf624c848c7.jpg,10.00,10.00,0,0,Andersen10,2026-03-24 15:24:46.637,19,"",false,
1126,1538,Printing service,Say promocode to Manager,PROMOCODE,2026-02-02,2026-03-31,https://andersen-benefits.s3.amazonaws.com/placeholder_imagedbfeb48e-9819-4235-8376-315b4e656d3d.png,5.00,5.00,0,0,Threads5,2026-02-02 15:05:14.118,1548,"",true,
487,320,Fitness,by promo code,PROMOCODE,2025-12-24,,https://andersen-benefits.s3.amazonaws.com/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA%20%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0%202024-10-14%20%D0%B2%2013.55.11a5e19857-007d-444c-a3c7-d4b0c31638fe.png,20.00,20.00,1,0,ANDERSEN20,,15,"",false,
530,363,"laser depilation, massages",by promo code,PROMOCODE,2024-12-01,2027-01-01,https://andersen-benefits.s3.amazonaws.com/2ab32baaf3bb4b53ac4271e25f1176-laserhouse-wroclaw-logo-9db69890f2a24166827b73da982a82-booksy516a18b2-fa23-4267-b204-997e50fae7ae.jpeg,40.00,40.00,4,0,Promocode 11-2024-11-2025,,15,"",false,
520,353,Cleaning,"by promo code.
* The promo code provides a 20% discount when ordering services in the sections Normal cleaning and Window cleaning and applies to the entire list of services in these sections.",PROMOCODE,2025-12-24,,https://andersen-benefits.s3.amazonaws.com/download8b50aa2b-9c16-4b83-bab8-218ca1c98ae3.png,20.00,20.00,4,0,Andersen,,15,"",false,
486,319,Beauty Salon,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-12-24,,https://andersen-benefits.s3.amazonaws.com/thumbnail_hair%20%E2%80%A2nalis%20%E2%80%A2makeup3e9c67a2-26c6-47bb-8f95-c13f8ebd0c8e.png,10.00,15.00,6,0,GxAndersen,,15,"",false,
492,325,Legalization,by promo code,PROMOCODE,2025-12-24,,https://andersen-benefits.s3.amazonaws.com/imagesee47ad1a-5b92-4167-b065-9486b443f943.png,10.00,10.00,1,0,Andersen10,,15,"",false,
496,329,Online bookstore,by promo code,PROMOCODE,2024-10-29,2025-12-31,https://andersen-benefits.s3.amazonaws.com/Frame%202%20%283%2910fbd145-f749-4aea-acc6-6c71b14cd5ea.png,10.00,10.00,1,0,ROMARIK,,15,"",true,
509,342,Travel,by promo code,PROMOCODE,2025-12-24,,https://andersen-benefits.s3.amazonaws.com/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA%20%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0%202024-11-14%20%D0%B2%2014.55.522532bcd3-522f-48f1-a869-d2e97c042b55.png,5.00,5.00,4,0,Andersen5,,15,"",false,
1285,1719,Restaurant,"To receive the discount, please use the following promo code: BAKURİANİ1881",PROMOCODE,2026-05-07,,https://andersen-benefits.s3.amazonaws.com/cropped-image8a4448dd-c93b-4cdc-a74d-7159f5588ed4.jpeg,10.00,10.00,0,0,BAKURIANI1881,2026-05-07 06:36:21.194,5088,"",false,
