"id","localization_text","created_at","updated_at"
2,Ukraine,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
3,Belarus,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
4,Poland,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
5,Lithuania,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
6,Georgia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
7,Volgograd,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
8,Hungary,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
9,Ekaterinburg,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
10,Kazan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
11,Moscow,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
12,Samara,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
13,Saint Petersburg,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
14,Sochi,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
17,Kyiv,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
18,Lviv,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
19,Odesa,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
20,Brest,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
21,Vitebsk,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
22,Gomel,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
23,Grodno,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
24,Minsk,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
30,Vilnius,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
31,Tbilisi,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
32,Batumi,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
