"id","location_id","discount_id"
1,14,1
2,17,2
3,14,2
1301,58,660
1316,25,669
1339,15,680
1340,15,681
8,16,2
9,13,2
1353,63,691
11,15,2
12,15,3
13,14,4
14,17,5
15,14,5
1402,15,711
1420,27,721
20,16,5
21,13,5
1461,47,731
23,15,5
1483,56,739
1494,48,751
1512,23,760
1537,55,370
1567,15,779
1568,17,779
1569,53,779
1570,63,779
1571,13,779
1572,16,779
34,14,11
35,17,11
36,15,11
1573,14,779
38,13,11
39,16,11
1600,29,787
1601,30,787
42,17,12
44,14,14
1207,46,624
1212,26,629
1234,28,637
1236,12,640
1244,46,642
1245,11,642
1246,44,642
1247,43,642
1623,27,797
1657,14,807
55,14,17
56,17,17
57,15,17
1668,47,816
59,13,17
60,16,17
1687,23,822
1703,23,831
1248,10,642
1249,12,642
1250,45,642
66,17,21
1704,55,831
1741,17,835
1742,53,835
1743,63,835
1744,13,835
77,17,23
78,17,24
1252,10,644
80,17,26
81,15,27
1745,16,835
1746,14,835
1747,15,835
1752,17,840
1753,53,840
1754,63,840
1755,13,840
1756,16,840
1757,14,840
1758,15,840
1763,47,845
1768,24,850
1825,29,854
1826,54,854
96,14,35
97,17,35
98,15,35
1827,31,854
100,13,35
101,16,35
1828,28,854
1829,30,854
1830,27,854
1854,14,858
106,14,36
107,17,36
108,15,36
1865,24,862
110,13,36
111,16,36
1866,25,862
1867,56,862
1871,24,866
115,29,38
116,29,39
117,23,40
118,23,41
119,29,42
1872,25,866
1873,56,866
1883,23,870
1892,142,874
1893,89,874
1894,196,874
1895,118,874
1896,109,874
129,26,47
130,26,48
131,26,49
132,26,50
1897,140,874
134,29,182
135,28,183
137,28,185
138,28,186
139,28,187
140,29,188
1898,224,874
1899,128,874
1900,123,874
1901,106,874
1902,126,874
1903,214,874
147,14,190
148,31,191
149,30,191
150,27,191
151,29,191
152,28,191
157,28,196
158,23,197
1904,104,874
1905,80,874
161,28,199
162,28,200
1906,107,874
165,31,203
166,27,203
167,30,203
168,29,203
172,28,203
1302,29,661
175,27,213
176,26,214
177,26,215
178,25,216
1317,17,670
1341,46,682
1342,10,682
1343,12,682
1354,63,692
1372,17,702
1403,25,712
1421,12,722
1422,43,722
1423,46,722
1424,52,722
190,28,219
191,28,220
192,15,221
193,27,222
194,17,223
195,29,224
196,28,225
197,30,225
198,27,225
1425,11,722
200,29,225
201,31,225
202,28,226
203,30,226
204,27,226
1426,44,722
206,29,226
207,31,226
208,27,227
210,14,229
211,14,230
212,28,231
213,30,231
214,27,231
1427,45,722
216,29,231
217,31,231
219,17,233
1428,10,722
221,29,235
222,29,236
223,14,237
224,15,237
225,13,237
1462,54,732
1463,29,732
228,16,237
1464,27,732
1465,30,732
1466,28,732
232,17,237
233,14,238
1467,31,732
1484,12,741
1495,16,752
237,28,242
238,17,243
240,23,245
241,15,246
242,26,247
243,29,248
249,15,250
1496,15,752
1497,17,752
252,29,251
253,30,251
254,27,251
255,31,251
256,28,251
1498,14,752
259,26,253
1499,13,752
261,16,254
262,13,254
1513,56,761
264,15,254
265,17,254
266,14,254
1514,24,761
1515,25,761
1538,17,770
1574,24,780
271,28,255
272,31,255
273,27,255
274,30,255
275,29,255
1602,15,788
1624,14,798
278,23,256
279,25,257
280,23,258
281,17,259
282,17,260
283,27,261
284,28,262
1625,15,798
1626,17,798
1627,53,798
288,29,262
289,30,262
290,27,262
291,31,262
292,28,263
293,28,264
294,28,265
295,28,266
296,47,267
297,48,268
298,47,268
299,17,269
301,29,271
302,28,272
303,28,273
307,29,273
308,30,273
309,27,273
310,31,273
311,28,274
315,29,274
316,30,274
317,27,274
318,31,274
319,27,275
321,28,277
325,29,277
326,30,277
327,27,277
328,31,277
329,17,278
330,23,279
332,28,281
333,29,282
334,29,283
335,27,283
336,48,284
337,47,284
338,26,285
339,26,286
340,14,287
341,17,288
342,17,289
343,23,290
344,15,291
1208,23,625
346,25,293
347,24,293
348,29,294
350,15,296
352,28,298
1303,58,662
1304,47,662
1305,48,662
356,29,298
357,30,298
358,27,298
359,31,298
360,28,299
1318,17,671
1344,17,683
1355,54,693
364,29,299
