"id","country_id","localization_default_id","created_at","updated_at"
43,2,44,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
44,2,45,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
45,2,46,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
46,2,47,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
47,9,48,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
48,9,49,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
49,10,52,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
50,11,54,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
51,12,56,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
52,2,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
53,3,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
54,4,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
55,5,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
56,6,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
57,7,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
58,9,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
59,10,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
60,11,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
61,12,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
62,13,57,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
63,3,58,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
64,13,60,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
67,15,62,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
68,15,63,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
69,15,64,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
70,15,65,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
71,15,66,2026-05-11 16:09:30.944 +0500,2026-05-11 16:09:30.944 +0500
